185,Asia-Pacific Services Computing Conference,APSCC,CORE2023,C,Yes,4606,,
186,Asia-Pacific Software Engineering Conference,APSEC,CORE2023,C,Yes,4612,,
165,Web and Big Data,APWEB,CORE2023,C,Yes,4605,,
923,"International Conference on Availability, Reliability and Security",ARES,CORE2023,B,Yes,4604,,
743,IEEE Symposium on Computer Arithmetic,ARITH,CORE2023,C,No,4613,,
1355,International Symposium on Artificial Life and Robotics,AROB,CORE2023,C,No,4602,,
917,"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,CORE2023,C,Yes,4607,4608,
279,Automated Software Engineering Conference,ASE,CORE2023,A*,Yes,4612,,
61,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,CORE2023,A,Yes,4604,,
1243,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,CORE2023,A,Yes,4604,,
2311,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,CORE2023,B,Yes,4605,4608,4611
1978,National Conference of The Australian Society for Operations Research,ASOR,CORE2023,Australasian C,Yes,4602,,
162,Asia and South Pacific Design Automation Conference,ASPDAC,CORE2023,C,No,4606,,
147,Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2023,A*,Yes,4612,4606,
595,IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,CORE2023,C,No,4602,,
2258,International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,CORE2023,A,Yes,4608,,
281,Automation of Software Test,AST,CORE2023,C,No,4612,,
921,International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing),ATC,CORE2023,C,No,4604,4606,4605
1871,"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",ATMOS,CORE2023,C,No,4613,4601,
2231,International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,CORE2023,National: Tunisia,Yes,4603,4605,
1357,International Symposium on Automated Technology for Verification and Analysis,ATVA,CORE2023,B,Yes,4612,,
253,Australian Data Mining Conference,AusDM,CORE2023,Australasian C,Yes,4605,4611,
231,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,CORE2023,Australasian C,Yes,4606,,
93,Advanced Visual Interfaces,AVI,CORE2023,B,No,4608,,
92,IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,CORE2023,B,Yes,4603,,
2275,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,CORE2023,C,Yes,4611,4605,4601
596,IEEE Bioinformatics and Bioengineering,BIBE,CORE2023,C,No,4601,,
2274,IEEE International Conference on Big Data,BigData,CORE2023,B,Yes,4605,4611,4602
296,British Machine Vision Conference,BMVC,CORE2023,A,Yes,4603,,
878,International Conference in Business Process Management,BPM,CORE2023,A,No,4612,,
925,"International Conference on Broadband Communications, Networks and Systems",Broadnets,CORE2023,C,Yes,4606,,
288,Body Sensor Networks,BSN,CORE2023,C,No,4601,,
2243,"Datenbanksysteme für Business, Technologie und Web",BTW,CORE2023,National:Germany,Yes,4605,,
193,Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,CORE2023,C,No,4601,,
918,International Conference on Automated Deduction,CADE,CORE2023,A,Yes,4602,,
1556,ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,CORE2023,C,No,4601,,
955,International Conference on Computer Analysis of Images and Patterns,CAIP,CORE2023,C,Yes,4603,,
891,International Conference on Advanced Information Systems Engineering,CaiSE,CORE2023,A,Yes,4605,,
333,"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,CORE2023,C,No,4607,4603,
2291,Conference on Algebra and Coalgebra in Computer Science,CALCO,CORE2023,B,Yes,4613,,
982,International Conference on Cryptology and Network Security,CANS,CORE2023,B,No,4604,,
1737,Smart Card Research and Advanced Application Conference,CARDIS,CORE2023,C,Yes,4604,,
